id,question,A,B,C,D,solution,category,difficulty
214,Cuál es la hibridación del carbono en un alquino lineal?,sp³,sp²,sp,sp³d,C,organic,medium
215,Qué producto se obtiene de la saponificación de un éster graso?,Un aldehído,Un jabón (sal de ácido graso),Un anhídrido,Un fenol,B,organic,medium
216,Cuál es la función principal de un radical libre en reacciones orgánicas?,Estabilizar intermedios,Iniciar cadenas de sustitución,Inhibir la reacción,Formar puentes de hidrógeno,B,organic,medium
217,Cómo se llama la reacción de adición de H₂O a un alqueno en medio ácido?,Hidrogenación,Hidratación,Halogenación,Oxidación,B,organic,medium
218,Qué ocurre al oxidar un alcohol secundario?,Se forma un aldehído,Se forma un ácido carboxílico,Se forma una cetona,No reacciona,C,organic,medium
219,Cuál es la parte reactiva (centro electrofílico) en un carbonilo C=O?,El carbono,El oxígeno,Ambos,Ninguno,A,organic,medium
220,Qué caracteriza a la reacción SN1?,Un solo paso,Intermediario carbocatión,Requiere radicales libres,Ocurre en alcanos,B,organic,medium
221,Qué es la polimerización por adición?,Un monómero se condensa con pérdida de H₂O,Monómeros con dobles enlaces se unen sin pérdida de átomos,Una reacción ácido-base,Ninguna de las anteriores,B,organic,medium
222,Cuál es el nombre de la familia con un doble enlace carbono-nitrógeno (C=N)?,Amidas,Iminas,ésteres,Nitrilos,B,organic,medium
223,Qué define a un compuestos aromático según la regla de Huckel?,4n electrones ?,(4n+2) electrones ?,una anillo de 5 átomos,Solo enlaces simples,B,organic,medium
224,Qué tipo de reactividad presentan los halogenuros de alquilo en reacciones nucleofílicas?,Son muy estables y no reaccionan,Actúan como sustratos electrofílicos,Son ácidos fuertes,Liberan halógenos libres,B,organic,medium
225,Cuál es el principal producto de la oxidación de un aldehído?,Alcohol,Aldehído diferente,Cetona,ácido carboxílico,D,organic,medium
226,Qué reactivo se utiliza para la oxidación de alcoholes primarios a ácidos carboxílicos en medio ácido?,NaBH₄,KMnO₄,H₂/Pd,LiAlH₄,B,organic,medium
227,Qué sucede cuando un benceno reacciona con HNO₃ en presencia de H₂SO₄?,Sulfona el anillo,Nitra el anillo,Reduce el anillo,Polimeriza el anillo,B,organic,medium
228,Cómo se llama el proceso de separar compuestos orgánicos basados en su solubilidad en distintas fases?,Cromatografía líquida,Filtración al vacío,Extracción líquido-líquido,Destilación fraccionada,C,organic,medium
229,Qué es un enol?,Un aldehído,Un tautómero de un carbonilo con OH en C=C,Un éster cíclico,Una sal orgánica,B,organic,medium
230,Qué caracteriza a las diaminas?,Tienen dos grupos -OH,Tienen dos grupos -NH₂,Tienen dos dobles enlaces,Tienen dos anillos aromáticos,B,organic,medium
231,Cómo se llama la reacción de condensación entre dos moléculas de aminoácidos?,Esterificación,Reacción de Diels-Alder,Reacción de Cannizzaro,Formación de enlace peptídico,D,organic,medium
232,Qué es la isomería óptica?,Existencia de isómeros que difieren en un enlace doble,Isómeros con giro de luz polarizada,Isómeros que difieren en posición de sustituyentes en anillo,Ninguna,B,organic,medium
233,Cuál de estas es una amina aromática?,Anilina,Metilamina,Dimetilamina,Amoníaco,A,organic,medium
234,Qué define la reacción de polimerización por condensación?,Se unen monómeros con liberación de moléculas pequeñas (ej. H₂O),Es una reacción en cadena radicalaria,No requiere catalizador,Ocurre solo en fase gaseosa,A,organic,medium
235,Qué es un alfa-hidroxiácido (AHA)?,Un ácido carboxílico con hidroxilo en el carbono vecino,Un alcohol con doble enlace,Una cetona cíclica,Un aminoácido esencial,A,organic,medium
236,Cuál es un método común para convertir un alcohol en un haluro de alquilo?,Oxidación fuerte,Sustitución con HX,Reducción catalítica,Ninguno,B,organic,medium
237,Qué caracteriza al ácido benzoico?,Grupo -OH en anillo,Grupo -CHO en anillo,Grupo -COOH unido al anillo bencénico,Grupo -NH₂ en anillo,C,organic,medium
238,Cuál es el nombre del compuesto CH₃-CH₂-CH₂-NH₂?,Etanolamina,Propanamina,Metilamina,Butilamina,B,organic,medium
239,Qué produce la reducción de un nitrilo (R-C≡N)?,Una amida,Una amina primaria,Un aldehído,Un ácido carboxílico,B,organic,medium
240,Cómo se llama la reacción de dimerización de dos radicales libres?,Acoplamiento radicalario,Reducción radicalaria,Transposición,Eliminación,A,organic,medium
241,Qué describe la reacción de Diels-Alder?,Ciclación entre un dieno conjugado y un dienófilo,Eliminación de H₂O en alcoholes,Reducción de una cetona,Sustitución electrofílica en benceno,A,organic,hard
242,Qué es un ácido carboxílico insaturado?,un ácido con un doble o triple enlace en la cadena,un ácido con más grupos -COOH,un ácido aromático,un ácido con halógenos,A,organic,hard
243,Cuál es la conformación más estable del ciclohexano?,Silla,Bote,Twist-boat,Medio-bote,A,organic,hard
244,Qué representa la notación (R) y (S) en química orgánica?,Configuración absoluta de centros quirales,Tipo de enlace,Grado de sustitución,Polaridad del enlace,A,organic,hard
245,Qué producto se obtiene de la ozonólisis de un alqueno?,Alcoholes,Cetonas/aldehídos,Aminas,Nitrocompuestos,B,organic,hard
246,Qué es un carbanión?,Un catión de carbono,Un radical neutro,Un anión con carga negativa en carbono,Un grupo nitro,C,organic,hard
247,Qué requiere la reacción de Friedel-Crafts acilación?,AlCl₃,SOCl₂,NaBH₄,Ag(NH₃)₂⁺,A,organic,hard
248,Qué sucede en la reacción de Cannizzaro?,Dos moléculas de aldehído sin hidrógeno alfa: una se oxida y la otra se reduce,Se forma un hemiacetal,Ocurre una hidrogenación,Se produce un carbanión estable,A,organic,hard
249,Qué tipo de radical es más estable en una reacción radicalaria?,Primario,Secundario,Terciario,Todos iguales,C,organic,hard
250,Qué describe la tautomería ceto-enol?,La interconversión entre un aldehído y su isómero cis,La interconversión entre formas ceto y enol,La separación de fases en una solución,Ninguna de las anteriores,B,organic,hard
251,Qué define un compuesto meso?,Posee centro quiral y actividad óptica alta,No tiene centros quirales,Tiene centros quirales pero es ópticamente inactivo,Es un compuesto con anillo aromático,C,organic,hard
252,Cuál es la reacción principal para sintetizar aminas primarias a partir de haluros de alquilo?,Reacción de Grignard,Amonólisis del haluro,Hidratación ácida,Acilación de Friedel-Crafts,B,organic,hard
253,Qué es la catálisis ácida en reacciones orgánicas?,Uso de un ácido fuerte para inhibir la reacción,El ácido se consume en la reacción,El ácido protona intermedios aumentando su reactividad,El ácido reduce la energía de activación cediendo electrones,C,organic,hard
254,Qué producto se obtiene de la reacción de un éster con un amoniaco en exceso?,Amida,Alcohol,Haluro de alquilo,éter,A,organic,hard
255,Qué hace el reactivo de Grignard (RMgX) con un carbonilo?,Oxida la cetona,Agrega R- al carbonilo formando un alcohol tras hidrólisis,Elimina el carbonilo,Ninguna,B,organic,hard
256,Qué caracteriza al mecanismo E2 (eliminación bimolecular)?,Forma carbocatión intermedio,Es de primer orden global,Requiere base fuerte y ocurre en un solo paso,Solo ocurre a bajas temperaturas,C,organic,hard
257,Qué define un azúcar reductor?,Tiene un anillo aromático,Posee un grupo amino libre,Puede oxidarse en presencia de reactivos como Tollens/Benedict,No contiene carbonilo,C,organic,hard
258,Cómo se llama la reacción de formación de un diacilo a partir de un anhídrido?,Cloruración,Transesterificación,Acilación,Halogenación,C,organic,hard
259,Qué ocurre en la reacción de Wolff-Kishner?,Reducción de cetonas/aldehídos a alcanos con hidrazina,Oxidación de alcoholes a ácidos,Sustitución nucleofílica en haluros,Ninguna,A,organic,hard
260,Cuál es la base conjugada de un fenol?,Fenolato,Fenil,Fenilamina,Benceno,A,organic,hard
261,Qué se forma al hidrolizar una amida?,Amine + OH⁻,ácido carboxílico y amina/amoniaco,ácido graso y glicerol,Aldehído y nitrógeno,B,organic,hard
262,Qué define la reducción de Birch (benceno con Na y NH₃)?,Oxida anillo aromático a fenol,Produce un diol,Reduce parcialmente el anillo a dieno,Sustituye hidrógeno por sodio,C,organic,hard
263,Qué es el test de iodoformo (haloformo)?,Confirma la presencia de CH₃CH(OH)- o CH₃C=O-,Detecta anillos aromáticos,Detecta enlaces dobles,Confirma haluros de alquilo secundarios,A,organic,hard
264,Cuál es la diferencia entre un enantiomero y un diastereoisómero?,Son lo mismo,Enantiomeros son imagen especular no superponible; diastereoisómeros no lo son,Diastereoisómeros son imágenes especulares,Ninguna,B,organic,hard
265,Qué son los compuestos organometálicos?,Sustancias con enlaces metal-oxígeno,Sustancias que contienen enlaces metal-carbono,Sustancias con metales alcalinos sin carbono,Polímeros con metal en la cadena,B,organic,hard
266,Qué hace el reactivo de Lucas (ZnCl₂/HCl)?,Oxida cetonas a ácidos,Diferencia alcoholes terciarios (reacción turbiedad rápida),Nitra anillos aromáticos,Descarboxila ácidos,B,organic,hard
267,Qué define la condensación aldólica?,Unión de dos aldehídos/cetonas con hidrógeno alfa para formar α-hidroxialdehído/cetona,Oxidación de alcoholes a aldehídos,Unión de un aldehído y un ácido,Reacción redox intracelular,A,organic,hard
268,Cuál es el reactivo principal para la formación de diazocompuestos (diazotación) en anilina?,H₂/Ni,NaNO₂ + HCl (frío),Br₂/FeBr₃,KMnO₄,B,organic,hard
269,Qué describe la reacción de Wittig?,Transformar un carbonilo en un alqueno usando ylide de fosforo,Hidratación de un alquino,Hidrogenación catalítica,Oxidación de alcoholes,A,organic,hard
270,Qué es la fotoisomerización del retinal en el ojo humano?,Un cambio redox,Un cambio de configuración cis-trans al absorber fotones,Una hidrólisis enzimática,Ninguna,B,organic,hard
271,Qué estudia la química inorgánica principalmente?,Compuestos de carbono,Compuestos orgánicos,Compuestos sin C como base principal,Solo metales preciosos,C,inorganic,easy
272,Cuál es el catión metálico en la sal de mesa NaCl?,Na⁺,Cl⁻,K⁺,Ca²⁺,A,inorganic,easy
273,Qué color presenta típicamente el ion cúprico (Cu²⁺) en solución acuosa?,Incoloro,Azul,Verde,Rojo,B,inorganic,easy
274,Cuál es la fórmula del amonio?,NH₂⁻,NH₃,NH₄⁺,NH₄⁻,C,inorganic,easy
275,Qué tipo de compuestos forman los metales alcalinos con el cloro?,óxidos,Sales iónicas,Peróxidos,Haluros covalentes,B,inorganic,easy
276,Cuál de estos no es un halógeno?,F,Cl,Br,O,D,inorganic,easy
277,Qué estado de oxidación tiene el sodio en Na₂O?,1,2,-1,0,A,inorganic,easy
278,Qué metal se encuentra en la hematita (Fe₂O₃)?,Hierro,Cobre,Aluminio,Zinc,A,inorganic,easy
279,Qué nombre reciben los elementos del grupo 2 de la tabla periódica?,Alcalinos,Alcalinotérreos,Halógenos,Lantánidos,B,inorganic,easy
280,Cuál es el principal uso del cloro elemental?,Combustible,Desinfectante/Blanqueante,Metalurgia,Refrigerante,B,inorganic,easy
281,Cómo se llama el compuesto CaO?,Cal viva,Cal apagada,Yeso,Caliza,A,inorganic,easy
282,Qué indica el término 'anfótero' en un hidróxido metálico?,Actúa solo como base,Actúa solo como ácido,Puede actuar como ácido o base,No reacciona con ácidos ni bases,C,inorganic,easy
283,Cuál es el anión en el nitrato de potasio (KNO₃)?,K⁺,NO₃⁻,NO₂⁻,N₃⁻,B,inorganic,easy
284,Cómo se denomina FeSO₄?,Sulfato férrico,Sulfato ferroso,Sulfito ferroso,Sulfito férrico,B,inorganic,easy
285,Qué iones forman un enlace iónico en MgCl₂?,Mg²⁺ y Cl⁻,Mg⁺ y Cl²⁻,Mg y Cl,Ninguno,A,inorganic,easy
286,Qué metal se emplea comúnmente para proteger hierro de la corrosión mediante galvanizado?,Cu,Ag,Zn,Pb,C,inorganic,easy
287,Cómo se denomina el compuesto HCl en agua?,ácido hipocloroso,ácido clorhídrico,Cloruro de hidrógeno,ácido clórico,B,inorganic,easy
288,Cuál es el nombre del ion poliatómico SO₄²⁻?,Sulfito,Sulfato,Tiosulfato,Sulfuro,B,inorganic,easy
289,Cuál de estos compuestos es un óxido ácido?,Na₂O,MgO,SO₃,CaO,C,inorganic,easy
290,Qué elemento forma el diamante y el grafito?,Hierro,Carbono,Silicio,Zinc,B,inorganic,easy
291,Qué tipo de compuesto es K₂O?,óxido metálico,óxido no metálico,Peróxido,Anhídrido,A,inorganic,easy
292,Cuál es la valencia habitual del aluminio en Al₂O₃?,1,2,3,4,C,inorganic,easy
293,Qué iones produce la disociación de NaOH en agua?,Na⁻ y OH⁺,Na₂⁺ y O²⁻,Na⁺ y OH⁻,NaO⁻ y H⁺,C,inorganic,easy
294,Cuál es el número de oxidación del cloro en HClO?,1,3,5,7,A,inorganic,easy
295,"Qué elemento se encuentra en la bauxita, mineral para obtener aluminio?",Fe,Al,Cu,Zn,B,inorganic,easy
296,Cuál es el gas inerte más abundante en la atmósfera terrestre?,He,Ne,Ar,Kr,C,inorganic,easy
297,"Qué nombre reciben los elementos del grupo 17 (F, Cl, Br, I)?",Gases nobles,Alcalinos,Halógenos,Calcógenos,C,inorganic,easy
298,Qué color tiene el azufre elemental sólido?,Negro,Transparente,Amarillo,Rojo,C,inorganic,easy
299,Qué metal es extraído principalmente de la casiterita (SnO₂)?,Plomo,Estaño,Cobre,Mercurio,B,inorganic,easy
300,Qué significa 'aq' en una fórmula como H₂SO₄(aq)?,Compuesto puro,Solución acuosa,Estado sólido,No está definido,B,inorganic,easy
301,Qué caracteriza a los compuestos de coordinación?,Tienen enlaces covalentes puros,El metal central se une a ligandos a través de enlaces coordinados,Son iones con carga -2,Son siempre diamagnéticos,B,inorganic,medium
302,Cómo se llama el anión complejo [Fe(CN)₆]⁴⁻?,Ferroso,Ferricianuro,Ferrocianuro,Férrico,C,inorganic,medium
303,Cuál es la hibridación del carbono en el CO₂?,sp³,sp²,sp,No está hibridado,C,inorganic,medium
304,Qué establece la teoría del campo cristalino?,Explica la energía de electrones d en complejos metálicos,Explica la solubilidad de sales,Predice las temperaturas de fusión,No describe iones metálicos,A,inorganic,medium
305,Cuál es el estado de oxidación del Mn en KMnO₄?,2,4,6,7,D,inorganic,medium
306,Qué tipo de sólido es el cloruro de sodio?,Molecular,Iónico,Metálico,Covalente en red,B,inorganic,medium
307,Cuál es el nombre del oxácido H₃PO₄?,ácido fosforoso,ácido hipofosforoso,ácido fosfórico,ácido perfosfórico,C,inorganic,medium
308,Qué elemento es el más electronegativo?,Oxígeno,Flúor,Cloro,Nitrógeno,B,inorganic,medium
309,Qué es la pasivación de un metal?,Su fusión inmediata,Formación de una capa protectora de óxido,Disolución completa en ácidos,Conversión en sal,B,inorganic,medium
310,Cómo se nombra Fe₂(SO₄)₃?,Sulfato de hierro (II),Sulfito de hierro (III),Sulfato de hierro (III),Hidróxido ferroso,C,inorganic,medium
311,Cuál es el estado de oxidación del cromo en K₂Cr₂O₇?,2,3,6,7,C,inorganic,medium
312,Qué iones forman el permanganato de potasio?,K⁺ y MnO₄⁻,K₂⁺ y MnO₄²⁻,K⁺ y MnO₄²⁻,K⁻ y MnO₄⁺,A,inorganic,medium
313,Cuál es el compuesto principal del mármol?,CaCO₃,CaO,Ca(OH)₂,CaSO₄,A,inorganic,medium
314,Qué producto se obtiene al descomponer térmicamente CaCO₃?,Ca(OH)₂,CaO y CO₂,Ca y CO₃,No se descompone,B,inorganic,medium
315,Qué tipo de enlace se presenta en los óxidos metálicos?,Covalente polar,Metálico,Iónico,Covalente no polar,C,inorganic,medium
316,Qué es la aleación latón?,Fe y C,Cu y Zn,Cu y Sn,Ag y Cu,B,inorganic,medium
317,Qué caracteriza a las sales dobles como el alumbre (KAl(SO₄)₂·12H₂O)?,Un solo catión y un anión complejo,Dos cationes diferentes y un anión simple,Tienen dos cationes y dos aniones que cristalizan juntos,No contienen agua de cristalización,C,inorganic,medium
318,Cuál es el gas liberado usualmente en la reacción de un metal con un ácido fuerte?,O₂,H₂,Cl₂,SO₂,B,inorganic,medium
319,Qué es el ZnS (blenda de zinc)?,Un hidróxido,Un sulfuro iónico,Un óxido metálico,Un haluro metálico,B,inorganic,medium
320,Qué define la estequiometría en un compuesto inorgánico?,La velocidad de reacción,La proporción fija de átomos en su fórmula,La solubilidad del compuesto,La estructura cristalina,B,inorganic,medium
321,Cómo se llama la reacción de un metal alcalinotérreo con agua para formar hidróxido y H₂?,Electrólisis,Neutralización,Reacción de desplazamiento,Reacción de combinación,C,inorganic,medium
322,Cuál es la principal diferencia entre óxidos básicos y óxidos ácidos?,Su color,Su solubilidad,Reaccionan con ácidos vs reaccionan con bases,No hay diferencia,C,inorganic,medium
323,Qué se forma cuando NH₃ se disuelve en agua?,NH₄⁺ y OH⁻,NH₃⁺ y H⁻,NH₂⁻ y H₂O⁺,No reacciona,A,inorganic,medium
324,Qué metal se obtiene principalmente a partir de la esfalerita (ZnS)?,Zinc,Plomo,Cobre,Hierro,A,inorganic,medium
325,Cuál es la fórmula del fosfato de sodio?,Na₃PO₄,NaPO₃,Na₂HPO₄,NaH₂PO₄,A,inorganic,medium
326,Cómo se llama el método de extracción de aluminio a partir de Al₂O₃ fundido con criolita?,Proceso Haber,Proceso Hall-Héroult,Proceso Ostwald,Proceso Bayer,B,inorganic,medium
327,Qué es un ácido poliprótico?,Un ácido con múltiples grupos funcionales,Un ácido capaz de donar más de un protón,Un ácido con enlaces metálicos,No existe tal concepto,B,inorganic,medium
328,"Qué nombre reciben los óxidos de nitrógeno como NO,  NO₂,  N₂O₄?",óxidos básicos,Anhídridos halógenos,óxidos neutros,óxidos ácidos,D,inorganic,medium
329,Cuál es la valencia del cobre en CuSO₄?,1,2,3,-1,B,inorganic,medium
330,Qué metal líquido se utiliza en algunos tipos de termómetros?,Plata,Mercurio,Litio,Oro,B,inorganic,medium
331,Qué explica la teoría de Bandas en sólidos?,La conductividad eléctrica en metales y semiconductores,La solubilidad de sales iónicas,La estructura atómica del núcleo,El color de las llamas,A,inorganic,hard
332,Qué es un compuesto de Werner?,Un tipo de complejo de coordinación,Un óxido anfótero,Un peróxido en el que el metal es +1,Ninguno,A,inorganic,hard
333,Cómo se llama la especie [Pt(NH₃)₂Cl₂]?,Sulfato de platino,ácido platínico,Diaminodicloroplatino(II),No es estable,C,inorganic,hard
334,Cuál es la carga global del complejo [Co(NH₃)₆]Cl₃ en disolución?,3,0,-3,2,B,inorganic,hard
335,Qué es la pirita (FeS₂) químicamente?,Un óxido de hierro,Un silicato de hierro,Un sulfuro de hierro,Un hidróxido,C,inorganic,hard
336,Qué ocurre cuando se calienta fuertemente KClO₃ con un catalizador?,No reacciona,Sublima,Se descompone liberando O₂,Pasa a estado líquido,C,inorganic,hard
337,Cuál es la diferencia entre un ferromagnetismo y un paramagnetismo?,El ferromagnetismo desaparece tras quitar el campo magnético,En el paramagnetismo las dipolos se alinean fuertemente,El ferromagnetismo requiere electrones emparejados,El ferromagnetismo es un alineamiento colectivo y persistente y el paramagnetismo es débil y no persiste,D,inorganic,hard
338,Qué describe la regla de 18 electrones en química organometálica?,La preferencia de los complejos metálicos por una configuración de gas noble extendida,La estabilidad del núcleo,El número de protones permitido,No existe tal regla,A,inorganic,hard
339,Qué iones forman el complejo de tetraaminacobre(II)?,Cu²⁺ y 4Cl⁻,Cu²⁺ y 4NH₃,Cu⁺ y 4NH₄⁺,No existe tal complejo,B,inorganic,hard
340,Qué es un ácido de Lewis?,Un dador de H⁺,Un aceptor de pares de electrones,Un aceptor de H⁺,Un dador de electrones,B,inorganic,hard
341,Cuál es la geometría común de un complejo con número de coordinación 6?,Tetraédrica,Cuadrado plano,Lineal,Octaédrica,D,inorganic,hard
342,Qué caracteriza la pila de combustible de hidrógeno?,Emite CO₂,Oxida H₂ y reduce O₂ generando H₂O,Funciona solo en alta presión,No genera electricidad,B,inorganic,hard
343,Qué metal se emplea como cátodo en la fabricación del litio por electrólisis de LiCl fundido?,Hierro,Níquel,Grafito,Cobre,C,inorganic,hard
344,Qué es el efecto Jahn-Teller?,Una distorsión geométrica en complejos de metales de transición con degeneración electrónica,La hidrólisis de iones metálicos,La aparición de magnetismo diamagnético,La mezcla de orbitales s y p,A,inorganic,hard
345,Qué ocurre en el proceso Solvay?,Síntesis de amoníaco,Obtención de Na₂CO₃ a partir de NaCl y NH₃,Producción de ácido sulfúrico,Refinación de petróleo,B,inorganic,hard
346,Qué subproducto se forma en la electrólisis de NaCl en celdas de diafragma aparte del Cl₂?,NaOH,HCl,H₂O₂,FeCl₃,A,inorganic,hard
347,Qué describe la serie electroquímica de metales?,Su capacidad de formar enlaces covalentes,Su potencial de reducción estándar relativo,Su densidad,Su punto de ebullición,B,inorganic,hard
348,Qué tipo de cristal es el diamante?,Molecular,Iónico,Metálico,Covalente de red,D,inorganic,hard
349,Cómo se denomina el ion complejo [Ag(NH₃)₂]⁺?,Amoníaco complejo de plata,Diaminoplata(I),Plata amónica,Ion argentocianuro,B,inorganic,hard
350,Cuál es el principal producto al hacer pasar amoníaco sobre cobre(II) óxido caliente?,N₂ y H₂O,NO y H₂O,NH₄NO₃,Cu(NH₃)₄²⁺,A,inorganic,hard
351,Qué técnica se usa para purificar el germanio e incrementarle la pureza para semiconductores?,Destilación fraccionada,Proceso de Czochralski (cristal único),Electrorefinación en medio acuoso,Proceso Bayer,B,inorganic,hard
352,Cuál es la fuente principal de fósforo para la industria química?,Fluorita,Apatita (fosfatos),Yeso,Silvina,B,inorganic,hard
353,Qué ocurre en la precipitación fraccionada?,Un ácido se neutraliza por partes,Se forman complejos a distintas etapas,Se separan iones de una solución basados en diferentes solubilidades,Ocurre una electrólisis selectiva,C,inorganic,hard
354,Qué es la pasivación del aluminio?,La formación de una capa de óxido que lo protege,La disolución del metal a alta T,La reducción de su óxido a metal,La formación de aleaciones con Fe,A,inorganic,hard
355,Cuál es el disolvente usado comúnmente en el proceso Bayer para disolver la bauxita?,HCl,NaOH,NH₃,H₂SO₄,B,inorganic,hard
356,Qué define la Ley de Fajans?,La polarización de un anión por un catión pequeño con alta carga,La conductividad eléctrica en disolución,El volumen molar de un gas,La formación de sales dobles,A,inorganic,hard
357,Qué se forma cuando se combina B₂H₆ (diborano) con O₂?,BH₃,B₂O₃ y agua,H₂O₂ y B,No reacciona,B,inorganic,hard
358,Qué nombre recibe la clase de compuestos que contienen el anión [MnO₄]⁻?,Permanganatos,Silicatos,Sulfatos,CrO₄ compuestos,A,inorganic,hard
359,Qué caracteriza a los lantánidos?,Son gases nobles,Elementos 3d de transición,Metales blandos y reactivos con orbitales 4f en llenado,No existen en la Tierra,C,inorganic,hard
360,Qué es la aleación 'cuproníquel'?,Cobre + Níquel,Cobre + Estaño,Cobre + Zinc,Níquel + Hierro,A,inorganic,hard
361,Balancea 2H₂ + O₂ -> _H₂O,1,2,3,4,B,balancing,easy
362,Balancea 2Na + Cl₂ -> _NaCl,1,2,3,4,B,balancing,easy
363,Balancea N₂ + 3H₂ -> _NH₃,1,2,3,4,B,balancing,easy
364,Balancea C + O₂ -> _CO₂,1,2,3,4,A,balancing,easy
365,Balancea 2Mg + O₂ -> _MgO,1,2,3,4,B,balancing,easy
366,Balancea 2K + 2H₂O -> 2KOH + _H₂,1,2,3,4,A,balancing,easy
367,Balancea Fe + S -> _FeS,1,2,3,4,A,balancing,easy
368,Balancea 2Ca + O₂ -> _CaO,1,2,3,4,B,balancing,easy
369,Balancea S + O₂ -> _SO₂,1,2,3,4,A,balancing,easy
370,Balancea C₃H₈ + 5O₂ -> 3CO₂ + _H₂O,1,2,3,4,D,balancing,easy
371,Balancea HCl + NaOH -> NaCl + _H₂O,1,2,3,4,A,balancing,easy
372,Balancea Zn + 2HCl -> ZnCl₂ + _H₂,1,2,3,4,A,balancing,easy
373,Balancea CaCO₃ -> CaO + _CO₂,1,2,3,4,A,balancing,easy
374,Balancea 2Al + 3Br₂ -> _AlBr₃,1,2,3,4,B,balancing,easy
375,Balancea 4Fe + 3O₂ -> 2_Fe₂O₃,1,2,3,4,B,balancing,easy
376,Balancea 2C₂H₆ + 7O₂ -> 4CO₂ + _H₂O,3,4,5,6,D,balancing,easy
377,Balancea 2KClO₃ -> 2KCl + _O₂,2,3,4,5,B,balancing,easy
378,Balancea 2Ag₂O -> 4Ag + _O₂,1,2,3,4,A,balancing,easy
379,Balancea 2H₂O₂ -> 2H₂O + _O₂,1,2,3,4,A,balancing,easy
380,Balancea NH₃ + HCl -> _NH₄Cl,1,2,3,4,A,balancing,easy
381,Balancea Ba + F₂ -> _BaF₂,1,2,3,4,A,balancing,easy
382,Balancea 2CO + O₂ -> _CO₂,1,2,3,4,B,balancing,easy
383,Balancea Na₂O + H₂O -> _NaOH,1,2,3,4,B,balancing,easy
384,Balancea C₃H₈ + 5O₂ -> 3CO₂ + _H₂O,1,2,3,4,D,balancing,easy
385,Balancea Ca + Cl₂ -> _CaCl₂,1,2,3,4,A,balancing,easy
386,Balancea Mg + 2HCl -> MgCl₂ + _H₂,1,2,3,4,A,balancing,easy
387,Balancea H₂ + Cl₂ -> _HCl,1,2,3,4,B,balancing,easy
388,Balancea 2K + Cl₂ -> _KCl,1,2,3,4,B,balancing,easy
389,Balancea 4P + 5O₂ -> 2_P₂O₅,1,2,3,4,B,balancing,easy
390,Balancea 4Al + 3O₂ -> 2_Al₂O₃,1,2,3,4,B,balancing,easy
391,Balancea Fe₂O₃ + 3C -> 2Fe + _CO,1,2,3,4,C,balancing,medium
392,Balancea 4FeS₂ + 11O₂ -> 2Fe₂O₃ + _SO₂,2,4,6,8,D,balancing,medium
393,Balancea Cu + 2AgNO₃ -> Cu(NO₃)₂ + _Ag,1,2,3,4,B,balancing,medium
394,Balancea 3Ca(OH)₂ + 2H₃PO₄ -> Ca₃(PO₄)₂ + _H₂O,2,4,5,6,D,balancing,medium
395,Balancea H₂SO₄ + 2NaOH -> Na₂SO₄ + _H₂O,1,2,3,4,B,balancing,medium
396,Balancea Na₂CO₃ + 2HCl -> 2NaCl + CO₂ + _H₂O,1,2,3,4,A,balancing,medium
397,Balancea NH₄NO₃ -> N₂O + _H₂O,1,2,3,4,B,balancing,medium
398,Balancea 2HNO₃ + Ca(OH)₂ -> Ca(NO₃)₂ + _H₂O,1,2,3,4,B,balancing,medium
399,Balancea 2Al + 3H₂SO₄ -> Al₂(SO₄)₃ + _H₂,1,2,3,4,C,balancing,medium
400,Balancea FeCl₃ + 3NH₄OH -> Fe(OH)₃ + 3_NH₄Cl,1,2,3,4,C,balancing,medium
401,Balancea AgNO₃ + NaCl -> AgCl + _NaNO₃,1,2,3,4,A,balancing,medium
402,Balancea K₂SO₄ + BaCl₂ -> BaSO₄ + _KCl,1,2,3,4,B,balancing,medium
403,Balancea 2Pb(NO₃)₂ -> 2PbO + 4NO₂ + _O₂,1,2,3,4,A,balancing,medium
404,Balancea C₆H₁₂O₆ -> 2C₂H₅OH + _CO₂,2,3,4,6,A,balancing,medium
405,Balancea 2ZnS + 3O₂ -> 2ZnO + _SO₂,1,2,3,4,B,balancing,medium
406,Balancea H₃PO₄ + 3NaOH -> Na₃PO₄ + _H₂O,1,2,3,4,C,balancing,medium
407,Balancea 2Al + Fe₂O₃ -> Al₂O₃ + _Fe,1,2,3,4,B,balancing,medium
408,Balancea 2NaHCO₃ -> Na₂CO₃ + 2CO₂ + _H₂O,1,2,3,4,A,balancing,medium
409,Balancea KClO₄ -> KCl + _O₂,1,2,3,4,B,balancing,medium
410,Balancea C₂H₅OH + 3O₂ -> 2CO₂ + _H₂O,1,2,3,4,C,balancing,medium
411,Balancea Pb + PbO₂ + 2H₂SO₄ -> 2PbSO₄ + _H₂O,1,2,3,4,B,balancing,medium
412,Balancea CuO + H₂ -> Cu + _H₂O,1,2,3,4,A,balancing,medium
413,Balancea Fe₂O₃ + 3H₂ -> 2Fe + _H₂O,1,2,3,4,C,balancing,medium
414,Balancea 2KNO₃ -> 2KNO₂ + _O₂,1,2,3,4,A,balancing,medium
415,Balancea 2HgO -> 2Hg + _O₂,1,2,3,4,A,balancing,medium
416,Balancea 2SO₂ + O₂ -> 2_SO₃,1,2,3,4,B,balancing,medium
417,Balancea CO + 2H₂ -> _CH₃OH,1,2,3,4,A,balancing,medium
