id,question,A,B,C,D,solution,category,difficulty
429,Balance 4C₃H₇OH + _O₂ -> 12CO₂ + 14H₂O,16,17,18,20,B,balancing,hard
430,Balance 3Fe + 4H₂O -> Fe₃O₄ + _H₂,2,3,4,6,C,balancing,hard
431,Balance 4C₄H₁₀ + _O₂ -> 16CO₂ + 20H₂O,24,25,26,28,C,balancing,hard
432,Balance 2C₆H₁₄ + _O₂ -> 12CO₂ + 14H₂O,18,19,20,22,B,balancing,hard
433,Balance 4C₅H₅N + _O₂ -> 20CO₂ + 10H₂O + 4NO₂,28,29,30,32,B,balancing,hard
434,Balance 8NH₃ + _O₂ -> 8NO + 12H₂O,9,10,11,12,B,balancing,hard
435,Balance 8C₂H₆ + _O₂ -> 16CO₂ + 24H₂O,26,27,28,30,C,balancing,hard
436,Balance 3Cu + _HNO₃ -> 3Cu(NO₃)₂ + 2NO + 4H₂O,6,7,8,10,C,balancing,hard
437,Balance BCl₃ + _H₂O -> H₃BO₃ + 3HCl,2,3,4,6,B,balancing,hard
438,Balance 2SiCl₄ + _H₂O -> 2H₄SiO₄ + 8HCl,6,7,8,10,C,balancing,hard
439,Balance 2B₂H₆ + _O₂ -> 2B₂O₃ + 6H₂O,5,6,7,8,B,balancing,hard
440,Balance 2C₇H₆O + _O₂ -> 2C₇H₆O₂,1,2,3,4,A,balancing,hard
441,Balance _NH₃ + H₂SO₄ -> (NH₄)₂SO₄,1,2,3,4,B,balancing,hard
442,Balance 2PCl₃ + _H₄O -> 2H₃PO₃ + 6HCl,3,4,5,6,A,balancing,hard
443,Balance 2Na₂CO₃ + _HCl -> 4NaCl + 2H₂O + 2CO₂,2,3,4,6,C,balancing,hard
444,Balance B₂O₃ + _HF -> 2BF₃ + 3H₂O,4,5,6,8,C,balancing,hard
445,Balance 2C₈H₈O₃ + _O₂ -> 16CO₂ + 8H₂O,15,16,17,18,C,balancing,hard
446,Balance 6Mg + _N₂ -> 2Mg₃N₂,1,2,3,4,B,balancing,hard
447,Balance 8P + _O₂ -> 4P₂O₅,8,10,12,14,B,balancing,hard
448,Balance P₄ + 20HNO₃ -> 4H₃PO₄ + 20NO₂ + _H₂O,2,3,4,5,C,balancing,hard
449,Balance 4Sb + 10HNO₃ -> 2Sb₂O₅ + 5NO₂ + _H₂O,1,Non-adjustable,3,5,B,balancing,hard
450,Which subatomic particle has a negative charge in the atom?,Proton,Neutron,Electron,Positron,C,general,easy
451,What is the chemical formula of water?,H₂O,H₂O₂,HO₂,OH₂,A,general,easy
452,Which of the following is an example of a homogeneous mixture?,Water and oil,Air,Water with sand,Salad,B,general,easy
453,What is mainly released in a complete combustion reaction?,Ozone,Carbon monoxide,Water and carbon dioxide,Nitrogen vapor,C,general,easy
454,What is the chemical symbol for potassium?,P,Pt,K,Po,C,general,easy
455,What is electronegativity?,The ability of an atom to lose electrons,The ability of an atom to attract electrons,The number of electrons in its shell,The total charge of the atom,B,general,easy
456,Which device is used to measure the pH of a solution?,Thermometer,Balance,pH electrode,Burette,C,general,easy
457,What is the main difference between an element and a compound?,Compounds have no mass,An element is formed by only one type of atom and a compound by two or more,Elements are always liquids,A compound is a state of matter,B,general,easy
458,What type of reaction occurs when an acid and a base mix to form a salt and water?,Combustion,Neutralization,Reduction,Polymerization,B,general,easy
459,Which property describes the ability of a material to be drawn into thin wires?,Malleability,Ductility,Resilience,Toughness,B,general,easy
460,What is evaporation?,Phase change from solid to gas,Phase change from liquid to gas at room temperature,Condensation of vapor,Diffusion of a gas,B,general,easy
461,What is the periodic table of the elements?,A historical record of experiments,A grouping of atoms by nucleus size,A classification of chemical elements by their properties,A list of organic compounds,C,general,easy
462,What type of chemical bond is generally formed between a metal and a non-metal?,Covalent,Metallic,Ionic,Peptide,C,general,easy
463,What is the phase change from gas to liquid called?,Fusion,Sublimation,Condensation,Evaporation,C,general,easy
464,Which property describes the amount of matter in an object?,Volume,Mass,Density,Length,B,general,easy
465,What type of mixture is granite (rock with visible different minerals)?,Pure compound,Homogeneous solution,Heterogeneous mixture,Element,C,general,easy
466,What happens to a liquid’s molecules when temperature increases?,Their kinetic energy decreases,Their kinetic energy increases and they move faster,They freeze automatically,They break down into atoms,B,general,easy
467,What is the valence of an atom?,Total mass of the atom,Number of protons in the nucleus,Ability of an atom to combine with others,Bond energy,C,general,easy
468,What type of compound is formed when hydrogen combines with a halogen such as chlorine?,An oxide,A hydrate,A metallic hydride,A hydrogen halide,D,general,easy
469,Which unit is used to measure amount of substance in chemistry?,Kelvin,Meter,Mole,Joule,C,general,easy
470,Which of the following elements is a noble gas?,Hydrogen,Oxygen,Neon,Nitrogen,C,general,easy
471,In which type of chemical reaction do two compounds combine to form a more complex one?,Decomposition,Synthesis,Neutralization,Redox,B,general,easy
472,Which of the following is a substance composed of two or more different chemical elements chemically bonded?,Element,Mixture,Compound,Solution,C,general,easy
473,What is the main gas responsible for the greenhouse effect?,Ozone,Carbon dioxide,Argon,Methane,B,general,easy
474,What does it mean for a substance to be soluble in water?,That it reacts with water,That it mixes with oil,That it can dissolve in water,That it does not change its properties,C,general,easy
475,Which quantity is measured in Pascals (Pa)?,Temperature,Pressure,Speed,Mass,B,general,easy
476,Which element has the chemical symbol 'Ag'?,Gold,Aluminum,Silver,Argon,C,general,easy
477,In a chemical reaction, what are the reactants?,The final products,The substances that participate at the start,Inert substances,B,general,easy
478,What factor is changed in an experiment to observe its effect?,Independent variable,Dependent variable,Control,Constant,A,general,easy
479,What does the law of conservation of mass state?,Mass can be converted into energy,Mass remains constant during a chemical reaction,Mass varies with temperature,Mass increases when substances combine,B,general,easy
480,Which instrument is used to measure the mass of a substance?,Graduated cylinder,Balance,Thermometer,Pipette,B,general,easy
481,What is the substance that speeds up a reaction without being consumed called?,Catalyst,Reactant,Product,Base,A,general,easy
482,Which separation method utilizes different boiling temperatures?,Filtration,Decantation,Distillation,Magnetization,C,general,easy
483,What is a positive ion?,An atom with extra electrons,An atom that has gained neutrons,A cation,An anion,C,general,easy
484,Which of these processes is endothermic?,Combustion,Freezing,Boiling,Cellular respiration,C,general,easy
485,Which particle determines the identity of an element?,Electron,Proton,Neutron,Ion,B,general,easy
486,What is the main unit of concentration in chemistry?,Pascal,Molarity,Joule,Newton,B,general,easy
487,What type of bond holds the atoms together in a nitrogen molecule (N₂)?,Ionic,Hydrogen bond,Covalent double bond,Covalent triple bond,D,general,easy
488,What is the pH of a neutral solution at 25°C?,0,7,14,1,B,general,easy
489,Which of the following is an electrolytic solution?,Distilled water,Pure alcohol,Saline solution,Sugar solution in water,C,general,easy
490,What type of change occurs when a substance is chemically transformed into a different one?,Physical change,Chemical change,Phase change,Nuclear change,B,general,easy
491,What is the physical state of bromine at room temperature?,Solid,Liquid,Gas,Plasma,B,general,easy
492,Which of these substances is considered a base according to Arrhenius theory?,HCl,NaOH,H₂SO₄,CH₄,B,general,easy
493,What does the ideal gas law PV=nRT describe?,The relationship between pressure, volume, temperature and amount of gas,The reaction rate,A,general,easy
494,What is the most abundant element in the Earth's crust?,Iron,Silicon,Oxygen,Aluminum,C,general,easy
495,Which type of subatomic particle is found in the nucleus with a positive charge?,Electron,Proton,Neutron,Ion,B,general,easy
496,What is the approximate value of Avogadro's constant?,6.022×10²⁰,6.022×10²³,9.81×10²³,1.602×10⁻19,B,general,easy
497,Which property of metals allows them to be hammered or rolled into sheets?,Ductility,Malleability,Brittleness,Thermal conductivity,B,general,easy
498,Which of these elements is a halogen?,Chlorine,Sodium,Gold,Magnesium,A,general,easy
499,What is the unit of electric charge in the IS?,Newton,Coulomb,Joule,Volt,B,general,easy
500,What type of reaction involves the gain of electrons?,Oxidation,Reduction,Neutralization,Synthesis,B,general,easy
501,What is the process called by which a liquid turns into a solid?,Evaporation,Sublimation,Freezing,Condensation,C,general,easy
502,Which of the following substances is an example of an organic acid?,Sulfuric acid,Hydrochloric acid,Acetic acid,Nitric acid,C,general,easy
503,What is the main difference between a physical change and a chemical change?,A physical change produces new substances,A chemical change modifies the state of aggregation,A physical change does not alter chemical composition,A chemical change only changes the form of the substance,C,general,easy
504,What are the horizontal rows of the periodic table called?,Groups,Periods,Blocks,Families,B,general,easy
505,What happens when an atom loses electrons?,It becomes an anion,It becomes a cation,Its charge does not change,It gains atomic mass,B,general,easy
506,What is the general formula for alkanes?,CnH₂n,CnH₂n+2,CnH₂n-2,CnH₂n+1OH,B,general,easy
507,What is the boiling point of pure water at sea level?,50°C,75°C,100°C,120°C,C,general,easy
508,Which process produces the formation of oxide on iron?,Hydration,Reduction,Corrosion,Distillation,C,general,easy
509,What is the formula of ethanol?,CH₃OH,C₂H₅OH,C₂H₆,CH₃COOH,B,general,easy
510,What is an acid-base indicator?,A substance that changes color according to pH,A reaction catalyst,A type of strong acid,An inorganic salt,A,general,easy
511,Which particles combine to form heavier atomic nuclei in nuclear fusion?,Electrons,Protons,Neutrons,Quarks,B,general,easy
512,Which of the following is a gas at room temperature?,NaCl,CO₂,Ag,H₂O,B,general,easy
513,Which property describes the amount of solute present in a given amount of solvent?,Pressure,Molarity,Conductivity,Temperature,B,general,easy
514,Which are the neutral elementary particles in the atom?,Electrons,Protons,Neutrons,Ions,C,general,easy
515,What is an endothermic reaction?,One that releases heat,One that absorbs heat,One that does not exchange heat,One in which there is no change in enthalpy,B,general,easy
516,What type of mixture is water with sugar completely dissolved?,Heterogeneous mixture,Chemical compound,Homogeneous solution,Suspension,C,general,easy
517,What is the atomic number of carbon?,6,8,12,14,A,general,easy
518,What type of bond is in a water molecule?,Ionic bond,Polar covalent bond,Nonpolar covalent bond,Metallic bond,B,general,easy
519,What is the negatively charged particle that forms when an atom gains electrons?,Proton,Neutron,Anion,Cation,C,general,easy
520,What does the acronym pH stand for?,Potential of hydrogen,Hydrologic weight,Hydrostatic pressure,Hydration power,A,general,easy
521,What is plasma in terms of state of matter?,An ionized gas,A crystalline solid,A very viscous liquid,A low-energy state,A,general,easy
522,In a chemical reaction what are the products?,The initial substances,The substances formed,The catalysts,The solvents,B,general,easy
523,Which is the lightest known gas?,Hydrogen,Helium,Neon,Methane,A,general,easy
524,What is an isotope?,An atom with a different number of protons,An atom with a different number of electrons,An atom with a different number of neutrons,A type of ion,C,general,easy
525,Which type of chemical bond shares electrons between atoms?,Ionic,Covalent,Metallic,Van der Waals,B,general,easy
526,Which of these is not a change of state of matter?,Fusion,Sublimation,Condensation,Thermolysis,D,general,easy
527,What are proteins in chemical terms?,Chains of monosaccharides,Polymers of amino acids,Nucleic acids,Lipids,B,general,easy
528,What is the result of the chemical reaction of photosynthesis?,Carbon dioxide and water,Glucose and oxygen,Ozone and water,Methane and oxygen,B,general,easy
529,Which of the following is an example of a colloid?,Water and salt,Milk,Oil and water,Air,B,general,easy
530,What is osmotic pressure?,The pressure due to the weight of a column of fluid,The pressure that stops solvent flow through a semipermeable membrane,The pressure at the surface of a liquid,The vapor pressure of a substance,B,general,easy
531,What is a free radical?,An atom or molecule with an odd number of protons,An atom or molecule with an unpaired electron,A positively charged ion,A stable chemical compound,B,general,easy
532,What does stoichiometry study in chemistry?,Atomic structure,The description of nuclear reactions,The quantitative relationships between reactants and products,X-ray crystallography,C,general,easy
533,What is the freezing point of water on the Celsius scale?,0°C,10°C,-27°C,4°C,A,general,easy
534,Which subatomic particle influences the chemical reactivity of an atom?,Neutron,Proton,Electron,Nucleus,C,general,easy
535,What happens in an exothermic reaction?,Energy is absorbed as heat,No heat exchange,Energy is released as heat,The system cools permanently,C,general,easy
536,Which of these is not an extensive property of matter?,Mass,Volume,Density,Length,C,general,easy
537,What is the density of pure water at 4°C in g/mL?,0.5,1,1.5,2,B,general,easy
538,What is an atom?,The charged particle that forms part of molecules,The basic unit of a chemical element,An ion with negative charge,A compound of protons and electrons,B,general,easy
539,What is the most common allotrope form of oxygen in the atmosphere?,O,OH,O₂,O₃,C,general,easy
540,Which subatomic particle has a positive charge?,Electron,Neutron,Proton,Higgs boson,C,general,easy
541,What does the acronym 'atm' mean in chemistry?,Atom,Atmosphere,Atom-mole,Anti-temperature,B,general,easy
542,What type of compound does a metal oxide typically form when reacting with water?,An acid,An alkene,A base,An ether,C,general,easy
543,What is the main characteristic of an ideal gas?,Its atoms are strongly bonded,It occupies no volume,There is no attraction or repulsion between its molecules,It is always denser than air,C,general,easy
544,What is electrochemistry?,The study of electricity and electronics,The branch of chemistry that studies relationships between chemical and electrical phenomena,The analysis of organic compounds with IR spectroscopy,The measurement of pH in aqueous solutions,B,general,easy
545,Which instrument is used to measure heat exchanged in chemical reactions?,Thermometer,Calorimeter,Reactor,Balance,B,general,easy
546,What is the main component of natural gas?,Propane,Butane,Methane,Ethane,C,general,easy
547,What is the chemical formula of hydrochloric acid?,HCl,H₂Cl,ClH₂,H₂C,B,general,easy
548,What does Proust’s law (law of definite proportions) state?,Constant boiling temperature,That energy is conserved in every reaction,That a compound always has the same elements in the same mass ratio,That atomic mass is unchanging,C,general,easy
549,Which law states that the volume of a gas is inversely proportional to its pressure at constant temperature?,Charles's law,Avogadro's law,Boyle's law,Dalton's law,C,general,easy
550,Which of the following is an alkali metal?,Sodium,Calcium,Copper,Iron,A,general,easy
551,Which of the following elements is a transition metal?,Iron,Neon,Sulfur,Carbon,A,general,easy
552,Which of the following metals is a main component of brass?,Copper,Tin,Silver,Mercury,A,general,easy
553,Which of these acids is found in human gastric juice?,Hydrochloric acid,Acetic acid,Sulfuric acid,Nitric acid,A,general,easy
554,Which of the following defines the oxidation number in a compound?,The hypothetical charge of an atom,The number of electrons in the nucleus,The molecular mass,The electronegativity,A,general,easy
555,Which of the following compounds is a carbohydrate?,Glucose,Amino acid,Cholesterol,Lactic acid,A,general,easy
556,What is the electric charge of the atomic nucleus?,Negative,Neutral,Positive,Depends on the isotope,C,general,easy
557,Which law states that at constant temperature the volume of a gas is directly proportional to the number of moles?,Boyle's law,Avogadro's law,Charles's law,Dalton's law,B,general,easy
558,What is the protein responsible for oxygen transport in the blood?,Glycogen,Hemoglobin,Chitin,Collagen,B,general,easy
559,What are the vertical columns of the periodic table called?,Periods,Groups,Blocks,Series,B,general,easy
560,What does the Mohs hardness scale measure?,Resistance to fracture,Resistance to scratching,Electrical conductivity,Malleability,B,general,easy
561,Which of the following substances is a lipid?,Triglyceride,Cellulose,Hemoglobin,RNA,A,general,easy
562,Which of these phenomena describes light dispersion through a prism?,Reflection,Diffraction,Refraction,Polarization,C,general,easy
563,Which of the following is an example of an ester?,Methanol,Ethyl acetate,Butene,Ammonia,B,general,easy
564,What ion results from deprotonation of hydrochloric acid (HCl)?,Cl⁻,H⁻,OH⁻,Na⁺,A,general,easy
565,What compound forms when an acid reacts with an alcohol?,Amide,Ester,Ketone,Ether,B,general,easy
566,Which of these mixtures is a suspension?,Milk,Salt water,Orange juice with pulp,Bronze alloy,C,general,easy
567,Which nitrogenous base is not present in DNA?,Adenine,Thymine,Cytosine,Uracil,D,general,easy
568,Which of the following is a colligative property?,Solubility,Freezing point depression,Viscosity,Polymorphism,B,general,easy
569,In the neutralization of a strong acid with a strong base the final pH is approximately...,3,7,11,14,B,general,easy
570,Which of the following is an example of an amine?,NH₃,CH₃NH₂,C₂H₅OH,NaNH₂,B,general,easy
571,Which subatomic particle is transferred or shared during chemical reactions?,Protons,Neutrons,Electrons,Quarks,C,general,easy
572,Which of the following metals reacts violently with water?,Copper,Iron,Sodium,Gold,C,general,easy
573,What is a polyatomic anion?,An ion with a single atom,An ion with multiple atoms,An ion with a positive charge,A free radical,B,general,easy
574,Which of these compounds is insoluble in water?,NaCl,CuSO₄,AgCl,HCl,C,general,easy
575,Which chemical element has the symbol 'Sn'?,Tin,Silicon,Tin,Selenium,A,general,easy
576,Which of the following statements is true about catalysts?,They are consumed in the reaction,They increase activation energy,They decrease activation energy,They prevent the reaction from occurring,C,general,easy
577,Which of the following is a carbonyl functional group?,–OH,–COOH,–CO–,–NH₂,C,general,easy
578,Charles's law relates the volume of a gas and its...?,Pressure,Temperature,Number of moles,Mass,B,general,easy
579,What type of chemical reaction is A + B -> AB?,Decomposition,Synthesis,Single displacement,Double displacement,B,general,easy
580,In what unit is molecular mass measured?,g/mol,mol/g,L/mol,mL,A,general,easy
581,What is the chemical formula of calcium carbonate?,CaCO₃,Ca(OH)₂,CaCl₂,CaO,A,general,easy
582,What is the process called in which a solid turns directly into a gas?,Fusion,Condensation,Sublimation,Deposition,C,general,easy
583,What is the main function of a buffer in a solution?,Change color,Maintain stable pH,Increase temperature,Remove ions,B,general,easy
584,In the isotopic notation with 14 above and 6 below C what does 14 indicate?,Atomic number,Mass number,Number of protons,Number of neutrons,B,general,easy
585,What type of bond forms between two amino acids in a protein?,Ionic bond,Peptide bond,Metallic bond,Hydrogen bond,B,general,easy
586,What is the formula of the ammonium ion?,NH₃,NH₄⁺,NO₂⁻,NH₂⁻,B,general,easy
587,Which subatomic particle has the greatest mass?,Proton,Electron,Neutron,All have the same mass,C,general,easy
588,Which of the following processes describes dissociation into ions in water?,Electrolysis,Ionization,Solvation,Crystallization,B,general,easy
589,What does it mean that an acid is monoprotic?,That it has a single hydrogen atom,That it can donate one proton per molecule,That it reacts only with one type of base,That it only exists in solid state,B,general,easy
590,Which of the following is a halide anion?,F⁻,OH⁻,SO₄²⁻,NO₃⁻,A,general,easy
591,How many oxygen atoms are in a molecule of H₂SO₄?,1,2,3,4,D,general,easy
592,What is an atomic orbital?,The circular orbit of the electron,The region where an electron is most likely found,The path of the nucleus,A region void of electrons,B,general,easy
593,Which of the following is an aromatic hydrocarbon?,Benzene,Methane,Ethyne,Pentane,A,general,easy
594,What is the most common oxidation state of oxygen in its compounds?,0,-2,2,1,B,general,easy
595,Which of these vitamins is water-soluble?,Vitamin C,Vitamin A,Vitamin D,Vitamin K,A,general,easy
596,What are saponifiable lipids?,Those that do not contain fatty acids,Those that do not form soaps,Those that contain fatty acids and can form soaps,Those that only have steroids,C,general,easy
597,Which of the following ions causes permanent hardness in water?,Na⁺,Ca²⁺,K⁺,HCO₃⁻,B,general,easy
598,What is the process called that is the reverse of photosynthesis?,Cellular respiration,Fermentation,Transpiration,Nitrogen fixation,A,general,easy
599,What is the function of the chloroplast in plant cells?,Store starch,Carry out photosynthesis,Produce proteins,Regulate pH,B,general,easy
600,What is the purpose of an antacid?,Increase acidity,Neutralize excess acid,Prevent nutrient absorption,Cause increased acid secretion,B,general,easy
601,How does a weak acid differ from a strong acid?,It ionizes partially in water,It contains no hydrogen,It has a higher pH,It is always organic,A,general,easy
602,Which subatomic particle defines an atom’s chemical reactivity?,Electron,Proton,Neutron,Photon,A,general,easy
603,Which of these elements is not a halogen?,Fluorine,Chlorine,Bromine,Calcium,D,general,easy
604,What does the Pauli exclusion principle state?,Two electrons can have all four quantum numbers the same,There cannot be more than one proton in the nucleus,There is no limit to electrons in an orbital,Two electrons cannot have all four quantum numbers the same,D,general,easy
605,Which element is abundant in urea?,Sulfur,Nitrogen,Phosphorus,Fluorine,B,general,easy
606,Which substance is formed in aerobic respiration?,Lactic acid,Acetic acid,Carbon dioxide,Ozone,C,general,easy
607,What is the main industrial use of helium?,Fuel,Refrigerant for superconducting magnets,Soil fertilization,Steel production,B,general,easy
608,Which phenomenon is due to water’s surface tension?,Salt solubility,Floating of a paperclip,Ice formation,Boiling at 100°C,B,general,easy
609,What is the function of bile in digestion?,Neutralize pH,Emulsify fats,Break down proteins,Increase carbohydrate absorption,B,general,easy
610,What is the primary energy storage molecule in animal cells?,Lactic acid,Glycogen,DNA,Hemoglobin,B,general,easy
611,Which organic acid is found in citrus fruits?,Citric acid,Phosphoric acid,Hydrochloric acid,Uric acid,A,general,easy
612,What is hydrolysis?,The joining of sugars,The cleavage of a compound by water,The sublimation of a solid,The dehydration of a molecule,B,general,easy
613,Which best describes the enthalpy (H) of a system?,Measure of entropy,Heat content at constant pressure,Kinetic energy of molecules,Electric potential difference,B,general,easy
614,In a redox reaction, what happens to the substance that is reduced?,It loses electrons,It increases its oxidation number,It gains electrons,C,general,easy
615,What is a salt bridge in an electrochemical cell?,A metallic conductor,A tube that allows ion flow,A solid separator,An external power source,B,general,easy
616,What is the approximate pH of human saliva?,Between 1 and 2,Between 6 and 7,Between 8 and 9,Greater than 10,B,general,easy
617,What is nitriding of steel?,Removing impurities,Adding nitrogen to the surface,Alloying with copper,A galvanizing process,B,general,easy
618,Which best describes collagen?,Structural protein,Storage carbohydrate,Essential lipid,Nucleic acid,A,general,easy
619,What does the law of mass action state?,Rate is inversely proportional to concentration,Rate is directly proportional to temperature,Rate is directly proportional to concentration,Rate does not depend on concentration,C,general,easy
620,Which of these compounds has an ionic bond?,H₂O,NaCl,CH₄,Cl₂,B,general,easy
621,What is the heaviest noble gas?,Radon,Xenon,Argon,Krypton,A,general,easy
622,In 2H₂ + O₂ → 2H₂O, which reactant is limiting with 4 mol H₂ and 1 mol O₂?,H₂,O₂,H₂O,B,general,easy
623,What happens to the equilibrium of an exothermic reaction when temperature increases?,Shifts toward products,No change,Shifts toward reactants,Ions form,C,general,easy
624,What is the main product of alcoholic fermentation?,Methane,Ethanol,Acetic acid,Benzene,B,general,easy
625,Which substance is abundant in incomplete combustion?,Carbon dioxide,Carbon monoxide,Water,Ozone,B,general,easy
626,What is the chemical symbol for tungsten?,W,Wo,Tg,Wr,A,general,easy
627,What particle is emitted in alpha decay?,Electron,Proton,Helium nucleus,Neutron,C,general,easy
628,Which gas smells like rotten eggs?,Ammonia,Hydrogen sulfide,Sulfur dioxide,Chlorine,B,general,easy
629,What is an oxidizing agent in a redox reaction?,Substance that donates electrons,Substance that gains electrons,Substance that decomposes,Substance that does not participate,B,general,easy
630,Which of the following is a noble metal?,Iron,Copper,Silver,Sodium,C,general,easy
631,What is the SI unit of electric field?,Newton/coulomb,Volt/meter,Both A and B,Ampere,C,general,easy
632,What is the chemical formula of potassium permanganate?,K₂MnO₄,KMnO₄,K₂MnO₃,K(MnO₂)₂,B,general,easy
633,What is the largest natural source of ionizing radiation for humans?,Radon,Cosmic radiation,Ultraviolet radiation,Televisions,A,general,easy
634,What type of bond holds atoms together in inorganic salts?,Covalent,Ionic,Metallic,Hydrogen bond,B,general,easy
635,What is the main characteristic of a standard electrode?,It is at 0 K,1 M concentration for each species,It does not conduct electricity,It operates without pressure,C,general,easy
636,What chemical species defines acidity in an aqueous solution?,H⁺,OH⁻,Na⁺,Cl⁻,A,general,easy
637,What happens to the solubility of a gas in water as temperature increases?,It increases,It decreases,It does not change,It evaporates completely,B,general,easy
638,Which is a Brønsted–Lowry base?,H₂O,NH₃,H₂SO₄,NaCl,B,general,easy
639,What is entropy in thermodynamics?,Measure of disorder,Total kinetic energy,Latent heat,Pressure of a gas,A,general,easy
640,What is the most abundant element in the universe?,Helium,Hydrogen,Oxygen,Carbon,B,general,easy
641,What is allotropy?,Ability of an element to exist in different forms,Combination of two elements,Natural radioactivity,Oxidation of metals,A,general,easy
642,Which is produced when a metal reacts with an acid?,Oxide,Salt and hydrogen,Ester,Hydrocarbon,B,general,easy
643,Which group occupies column 17 of the periodic table?,Alkali metals,Noble gases,Halogens,Alkaline earth metals,C,general,easy
644,What is the approximate composition of stainless steel?,50% iron and 50% carbon,"Iron, chromium and nickel",Iron and copper,Iron and magnesium,B,general,easy
645,Which is the most abundant metal in the Earth’s crust?,Copper,Silver,Aluminum,Gold,C,general,easy
646,What is metal passivation?,Formation of a protective oxide layer,Melting of the metal,Conversion into salt,Galvanizing,A,general,easy
647,Which of the following is a diprotic acid?,HCl,H₂SO₄,H₃PO₄,CH₃COOH,B,general,easy
648,What is the primary use of chlorine gas in water treatment?,Oxidize metals,Disinfect drinking water,Control hardness,Lower pH,B,general,easy
649,Which best describes a base according to Arrhenius theory?,Substance that donates H⁺,Produces OH⁻,Generates H₃O⁺,Gains electrons,B,general,easy
650,What gas is commonly used to fill incandescent light bulbs to prevent the filament oxidizing?,Argon,Nitrogen,Oxygen,Neon,A,general,easy
651,Which metal is prized in aircraft manufacturing for its low density and high strength?,Aluminum,Steel,Copper,Lead,A,general,easy
652,What chemical is added to swimming pools as a disinfectant?,Chlorine,Fluoride,Bromine,Iodine,A,general,easy
653,From which ore is aluminum primarily extracted?,Bauxite,Hematite,Cassiterite,Magnetite,A,general,easy
654,What ion causes permanent hardness in water?,Calcium,Sodium,Potassium,Chloride,A,general,easy
655,Which vitamin is synthesized in human skin upon exposure to sunlight?,Vitamin D,Vitamin C,Vitamin A,Vitamin K,A,general,easy
656,What metal is used in thermometers due to its liquid range at room temperature?,Mercury,Lead,Aluminum,Copper,A,general,easy
657,Which device measures the acidity of a solution?,pH meter,Balance,Calorimeter,Manometer,A,general,easy
658,What is the principal ingredient of table salt?,Sodium chloride,Potassium iodide,Calcium carbonate,Magnesium sulfate,A,general,easy
659,Which laboratory glassware is best for mixing solutions but not precise measurements?,Beaker,Volumetric flask,Graduated cylinder,Pipette,A,general,easy
660,What is the common name for sodium bicarbonate?,Baking soda,Table salt,Epsom salt,Bleach,A,general,easy
661,Which element is essential for the formation of thyroid hormones?,Iodine,Iron,Calcium,Potassium,A,general,easy
662,What gas do plants take in during photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,A,general,easy
663,Which compound is used as antifreeze in car radiators?,Ethylene glycol,Propylene glycol,Glycerol,Acetic acid,A,general,easy
664,What is the primary metal in bronze?,Copper,Tin,Zinc,Iron,A,general,easy
665,What laboratory instrument measures exact mass to four decimal places?,Analytical balance,Spring scale,Graduated cylinder,Volumetric flask,A,general,easy
666,Which element’s salts often impart a red flame color in fireworks?,Strontium,Barium,Calcium,Potassium,A,general,easy
667,What does a Buchner funnel require to filter under vacuum?,Filter paper,Sand,Activated charcoal,Glass beads,A,general,easy
668,Which gas is released when vinegar reacts with baking soda?,Carbon dioxide,Methane,Hydrogen,Oxygen,A,general,easy
669,What is the chemical formula for table sugar?,C₁₂H₂₂O₁₁,C₆H₁₂O₆,C₁₀H₂₂O₁₁,C₁₂H₂₄O₁₂,A,general,easy
670,What type of reaction is the combination of an acid and a base?,Neutralization,Precipitation,Oxidation,Hydrolysis,A,general,easy
671,Which acid is commonly used in car batteries?,Sulfuric acid,Hydrochloric acid,Nitric acid,Phosphoric acid,A,general,easy
672,What is the name of the reaction when a molecule splits using water?,Hydrolysis,Dehydration,Saponification,Decarboxylation,A,general,easy
673,Which gas is used in carbonated beverages to create fizz?,Carbon dioxide,Nitrogen,Oxygen,Argon,A,general,easy
674,What type of compound is soap?,Salt of a fatty acid,Ester of glycerol,Amino acid derivative,Polysaccharide,A,general,easy
675,Which element is most abundant by mass in the human body?,Oxygen,Carbon,Hydrogen,Nitrogen,A,general,easy
676,What is the process of removing salt from seawater called?,Desalination,Distillation,Evaporation,Filtration,A,general,easy
677,Which metal is liquid at room temperature besides mercury?,Bromine (as a liquid element),Gallium,Cesium,Francium,B,general,easy
678,What is the primary metal in stainless steel?,Iron,Aluminum,Copper,Zinc,A,general,easy
679,Which gas is most responsible for the greenhouse effect?,Carbon dioxide,Methane,Ozone,Nitrous oxide,A,general,easy
680,Which type of bond forms between a metal and a non-metal?,Ionic,Covalent,Metallic,Hydrogen,A,general,easy
681,What is the chemical formula for rust?,Fe₂O₃,FeO,Fe₃O₄,FeO₂,A,general,easy
682,Which acid is found naturally in sting of ants?,Formic acid,Acetic acid,HCl,Citric acid,A,general,easy
683,What is the charge on a sulfate ion?,–2,2,–1,1,A,general,easy
684,Which element is used in fluorescent lamp coatings to produce white light?,Phosphorus,Magnesium,Calcium,Aluminum,A,general,easy
685,What is the common laboratory solvent that is also known as rubbing alcohol?,Isopropanol,Ethanol,Methanol,Acetone,A,general,easy
686,Which gas is used in fire extinguishers to smother flames?,Carbon dioxide,Nitrogen,Argon,Oxygen,A,general,easy
